eps,time_addm,verts_addm
0.31622776601683794,0.017113000000000156,24
0.03162277660168379,0.13115199999999994,250
0.0031622776601683794,0.7373529999999999,2555
0.00031622776601683794,0.41993500000000017,1203
3.1622776601683795e-05,1.0837109999999996,752
3.162277660168379e-06,0.5038070000000006,1021
3.162277660168379e-07,0.47425099999999976,678
3.162277660168379e-08,0.501468,691
3.1622776601683795e-09,0.5237250000000007,721
3.1622776601683795e-10,0.7559130000000005,1135
3.1622776601683794e-11,0.877866,1362
3.1622776601683794e-12,0.869319,1375
3.162277660168379e-13,0.8313959999999998,1376
3.1622776601683796e-14,0.8603609999999993,1376
3.1622776601683794e-15,0.8563499999999991,1376
